;Arpes occ;Arpes tot
-11.49609375;6.86044733582542E-07;1.08186603478055E-06
-11.49375;6.82224621365939E-07;1.07435005699158E-06
-11.49140625;6.78239436888697E-07;1.06658586115271E-06
-11.4890625;6.7409126937385E-07;1.05857754301118E-06
-11.48671875;6.69782299343008E-07;1.05032933281995E-06
-11.484375;6.65314792038603E-07;1.04184559005579E-06
-11.48203125;6.60691102030979E-07;1.03313080258909E-06
-11.4796875;6.55913669395302E-07;1.02418958395849E-06
-11.47734375;6.50985015274016E-07;1.01502667011746E-06
-11.475;6.45907747090493E-07;0.0000010056469187643
-11.47265625;6.40684550734471E-07;9.96055303281883E-07
-11.4703125;6.35318195658303E-07;9.86256917817812E-07
-11.46796875;6.29811527966717E-07;9.76256964906425E-07
-11.465625;6.24167469770124E-07;9.66060757375496E-07
-11.46328125;6.18389021667762E-07;9.55673717953861E-07
-11.4609375;6.12479257026279E-07;9.45101372644382E-07
-11.45859375;6.06441321513546E-07;9.34349348692316E-07
-11.45625;6.00278431418626E-07;9.23423371923902E-07
-11.45390625;5.93993875884192E-07;9.12329268300225E-07
-11.4515625;5.87591005302297E-07;9.01072947895644E-07
-11.44921875;5.81073242342094E-07;8.89660419212269E-07
-11.446875;5.74444070238514E-07;8.78097772666818E-07
-11.44453125;5.67707034126585E-07;8.66391182010257E-07
-11.4421875;5.60865741195715E-07;8.54546902003618E-07
-11.43984375;5.53923857458369E-07;8.42571264968435E-07
-11.4375;5.46885103290068E-07;8.30470674640604E-07
-11.43515625;0.0000005397532548033;8.18251604440357E-07
-11.4328125;5.32532142997968E-07;8.05920599157182E-07
-11.43046875;5.25225645801346E-07;7.9348426133057E-07
-11.428125;5.17837693206258E-07;7.80949255938559E-07
-11.42578125;5.10372257957813E-07;7.68322302850624E-07
-11.4234375;5.02833360655214E-07;7.55610175612783E-07
-11.42109375;4.95225064221527E-07;7.42819696627902E-07
-11.41875;0.0000004875514680254;7.29957732501138E-07
-11.41640625;4.79816714498488E-07;7.17031194364348E-07
-11.4140625;4.72024977868806E-07;7.04047028008799E-07
-11.41171875;4.64180468388515E-07;6.91012216973138E-07
-11.409375;4.56287427772359E-07;6.77933774296596E-07
-11.40703125;4.48350124709721E-07;6.64818738733869E-07
-11.4046875;4.4037285718942E-07;6.51674174203637E-07
-11.40234375;4.32359947169823E-07;6.38507163945923E-07
-11.4;4.24315738258836E-07;6.25324805862301E-07
-11.39765625;4.16244593897855E-07;6.12134210176416E-07
-11.3953125;4.08150898016423E-07;5.9894249817725E-07
-11.39296875;4.00039045447833E-07;5.85756790305328E-07
-11.390625;3.91913448592535E-07;5.7258421286281E-07
-11.38828125;3.8377852794653E-07;5.59431886522937E-07
-11.3859375;3.75638711729762E-07;5.46306924359944E-07
-11.38359375;3.6749843632615E-07;5.33216430345422E-07
-11.38125;3.59362141142582E-07;5.20167494029826E-07
-11.37890625;3.51234265182502E-07;5.07167184810393E-07
-11.3765625;3.43119247988475E-07;4.94222551340043E-07
-11.37421875;3.3502152611788E-07;4.81340617937632E-07
-11.371875;3.26945527381948E-07;4.68528375812779E-07
-11.36953125;3.18895675800135E-07;4.55792786474026E-07
-11.3671875;3.1087637939513E-07;4.4314077152879E-07
-11.36484375;3.02892037276158E-07;4.30579213440647E-07
-11.3625;2.9494703331457E-07;4.18114950288259E-07
-11.36015625;2.87045729366338E-07;4.05754770359588E-07
-11.3578125;2.79192472894343E-07;3.93505413352328E-07
-11.35546875;2.71391584001043E-07;3.81373559264488E-07
-11.353125;2.63647361382091E-07;3.69365833671805E-07
-11.35078125;2.55964076007362E-07;3.57488797104104E-07
-11.3484375;2.4834596774827E-07;3.45748943747259E-07
-11.34609375;2.40797246794074E-07;3.34152699292167E-07
-11.34375;2.33322088965062E-07;3.22706416502038E-07
-11.34140625;2.25924633329959E-07;3.11416370838041E-07
-11.3390625;2.18608980014639E-07;3.00288757883651E-07
-11.33671875;2.11379191545741E-07;2.89329692971984E-07
-11.334375;2.04239282703885E-07;2.78545199421065E-07
-11.33203125;1.97193228248046E-07;2.6794121653994E-07
-11.3296875;1.90244952712725E-07;2.57523587722142E-07
-11.32734375;1.83398330921921E-07;2.4729805982528E-07
-11.325;1.76657188477777E-07;2.37270282380383E-07
-11.32265625;1.70025296646441E-07;2.27445801881687E-07
-11.3203125;1.63506369644336E-07;2.17830058755788E-07
-11.31796875;1.5710406543362E-07;2.08428385209801E-07
-11.315625;1.50821983604933E-07;1.99246005339313E-07
-11.31328125;1.44663658246857E-07;1.90288024357378E-07
-11.3109375;1.38632565347984E-07;1.81559435154364E-07
-11.30859375;1.32732109448595E-07;1.73065107821394E-07
-11.30625;1.26965632233295E-07;1.64809792249459E-07
-11.30390625;1.21336406362279E-07;1.56798113699199E-07
-11.3015625;1.15847628925776E-07;1.49034568097778E-07
-11.29921875;1.10502430366649E-07;1.41523524972682E-07
-11.296875;1.05303861250907E-07;1.34269217101876E-07
-11.29453125;1.00254899976979E-07;1.27275748033793E-07
-11.2921875;9.53584457999659E-08;1.2054708130514E-07
-11.28984375;9.06173174139765E-08;1.14087041724745E-07
-11.2875;8.60342540218807E-08;1.07899313743117E-07
-11.28515625;8.1611912236115E-08;1.01987439202718E-07
-11.2828125;7.73528640995112E-08;9.63548137513199E-08
-11.28046875;7.32595955109349E-08;9.10046860512658E-08
-11.278125;6.93345089377958E-08;8.59401594199167E-08
-11.27578125;6.55799132827305E-08;8.11641800771854E-08
-11.2734375;6.19980333991266E-08;7.66795488380346E-08
-11.27109375;5.8591000245924E-08;7.24889092078459E-08
-11.26875;5.53608524473316E-08;6.85947494264397E-08
-11.26640625;5.23095380001593E-08;6.49994030683208E-08
-11.2640625;4.94389093384591E-08;6.17050443390579E-08
-11.26171875;4.67507227679328E-08;5.87136883361897E-08
-11.259375;4.42466390429614E-08;5.60271889197262E-08
-11.25703125;4.19282235265983E-08;5.36472424689369E-08
-11.2546875;3.97969390425458E-08;5.15753774236559E-08
-11.25234375;3.7854154997636E-08;4.9812963342733E-08
-11.25;3.61011348793101E-08;4.83612024795155E-08
-11.24765625;3.45390462439374E-08;4.72211343089367E-08
-11.2453125;3.31689550823907E-08;4.6393632629863E-08
-11.24296875;3.19918213624795E-08;4.58794033890616E-08
-11.240625;3.10085081223796E-08;4.56789889802381E-08
-11.23828125;3.02197698456805E-08;4.57927600879107E-08
-11.2359375;2.9626262177475E-08;4.62209265015719E-08
-11.23359375;2.92285342757437E-08;4.6963525585611E-08
-11.23125;2.90270308413847E-08;4.80204290217135E-08
-11.22890625;2.90220925342345E-08;4.93913403643778E-08
-11.2265625;2.92139555774483E-08;5.10757966724258E-08
-11.22421875;2.96027502694922E-08;5.30731668237742E-08
-11.221875;3.01885006769517E-08;5.53826517748669E-08
-11.21953125;3.09711291594134E-08;5.80032895399909E-08
-11.2171875;3.19504469013688E-08;6.09339450058729E-08
-11.21484375;3.31261654205334E-08;6.41733239049354E-08
-11.2125;3.44978874280066E-08;6.77199633174925E-08
-11.21015625;3.60651103082661E-08;7.15722353657265E-08
-11.2078125;3.78272289504934E-08;7.57283508958168E-08
-11.20546875;3.97835315228961E-08;8.01863555017403E-08
